id,email,name,hashedPassword,role,createdAt,updatedAt
clg1234567915,admin@upcycle.com,Admin,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,ADMIN,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567916,creator1@upcycle.com,Créateur 1,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,CREATOR,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567917,creator2@upcycle.com,Créateur 2,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,CREATOR,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567918,creator3@upcycle.com,Créateur 3,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,CREATOR,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567919,creator4@upcycle.com,Créateur 4,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,CREATOR,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567920,creator5@upcycle.com,Créateur 5,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,CREATOR,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567921,user1@example.com,Utilisateur 1,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,USER,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567922,user2@example.com,Utilisateur 2,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,USER,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567923,user3@example.com,Utilisateur 3,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,USER,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567924,user4@example.com,Utilisateur 4,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,USER,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567925,user5@example.com,Utilisateur 5,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,USER,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567926,user6@example.com,Utilisateur 6,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,USER,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567927,user7@example.com,Utilisateur 7,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,USER,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567928,user8@example.com,Utilisateur 8,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,USER,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567929,user9@example.com,Utilisateur 9,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,USER,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z
clg1234567930,user10@example.com,Utilisateur 10,$2a$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBAQHxQxJ5KQHy,USER,2024-03-19T00:00:00.000Z,2024-03-19T00:00:00.000Z 
